ticker,vol30_log_scaled,mom30_scaled,beta60_scaled
NVDA,0.5673940341402585,0.6079974383514319,0.918889659712815
F,-0.18434454061469446,0.6697038572555151,-0.27478240670330195
TSLA,1.0657761803478885,1.024565208288331,1.4978091038308752
PLTR,1.065870529311785,2.9617987672099795,1.2455359248067965
INTC,0.73218860477818,-0.683224688971634,0.5012950529668388
SMCI,0.9750282272167814,-0.5493645102647678,1.024989696127288
AAPL,0.3195797954041122,-0.8674259031217249,0.36819240069635345
PFE,-0.5522954379378017,-0.674185969174001,-0.7822500142819356
AMZN,0.08828846567490027,-0.20430546031746194,0.21983893368157723
BAC,-0.10796962901085928,0.009020608390252064,-0.10246021803992572
WBD,1.1092613903449442,-1.4493784960522373,1.1694595372060062
T,-0.6780995067609038,0.15479992014965333,-1.1014421815362556
AMD,0.9981944228921608,-0.15361713980063837,1.1868271663190784
GOOGL,-0.18421310624573908,-0.36363770460382194,-0.14624388611722886
AMCR,-0.5773856967296099,-0.3845620096122891,-0.723503874206562
AVGO,0.593123896413891,2.1178518648553193,0.8087338597505087
CMCSA,-0.4769473468390543,-0.5175330086794834,-0.5058885540888485
CCL,0.6557353964149513,-0.08599058619906445,0.8784647130826564
MSFT,-0.24951865702885162,1.313002903067139,-0.20883094743134356
VZ,-0.760271167064207,0.04264079350975588,-1.2175419626290007
MU,1.0995494457431254,-0.34906050344931616,1.3391545227271513
GOOG,-0.17665452802061068,-0.36939213486555067,-0.14237610723534772
WMT,-0.4425018569682737,1.3956799592433966,-0.3816589859627746
HBAN,0.0422677072523986,0.23690463768758394,0.1105079488235722
CSCO,-0.38933018511036904,-0.009020608390252064,-0.2563422161353456
HPE,0.6193639318046616,0.7256287361037418,0.6230085056283624
NKE,0.3097336906622604,-0.87545369151157,-0.09679149106290422
UBER,-0.013762109339501076,1.1554584967011157,0.11936609491772308
WFC,-0.19764375270998868,0.24831694168162596,-0.08728922498256923
KO,-0.8697244536878014,0.1472137427482967,-1.2091798556426125
META,0.2987261873818037,0.02144891534431046,0.47465207902765283
WBA,-1.0991475880644828,0.22549101750724612,-1.0682249125707646
SLB,0.3218381856415609,-1.4782622110922965,0.25238547502085085
FCX,0.7413684996218346,-0.27421514631356536,0.8476313654078798
KVUE,-0.5761463682930341,0.5448550425194933,-1.0355792768377137
PCG,-0.6128636587806418,0.17871181808524758,-0.7178404664393472
XOM,-0.40166654343170666,-0.6518935823484356,-0.5338480884491918
C,0.06522723284575284,0.1978982967986136,0.17973351241293495
MRK,-0.4899227149196649,-1.0486845750098053,-0.8866095445832014
NCLH,0.8361052938018568,-0.8396991919844315,0.850463152119188
KDP,-0.8381034056224368,0.04308545568151056,-1.0795740831683633
CSX,-0.5380474242399789,-0.18787582373168732,-0.47963199856929545
VTRS,-0.18544952685059657,0.10286057246970949,-0.28752083436705084
AES,0.024340572492416883,-0.6483728611526506,-0.0612541225736465
KEY,0.03285024508782472,-0.2119933965389328,0.11335621161877735
GM,-0.43034449511258627,0.23452611516599764,-0.26760313246697254
CMG,-0.19252820544823146,-0.04147274847522854,-0.1936204708979254
KMI,-0.42446475061809963,-0.027568238548538897,-0.5101041652727133
BMY,-0.5750802757045352,-1.6949520776282834,-1.0352649762098487
HAL,0.6224235464398007,-1.636841829819006,0.45519256960698445
LUV,0.5791324811424009,-0.5716876359585912,0.5301470291250302
OXY,0.3932982813485659,-1.1934283731038011,0.17283096031715728
LRCX,0.6878936529481375,0.24371386065241718,0.9227523127893017
NEM,-0.09092008345248118,1.241439232773444,-0.6303574277959952
DAL,0.9900571490708556,0.6136088645174007,1.1179768684947569
MCHP,1.7937975290742088,1.000400563870589,1.757512966954311
ANET,0.36968739539075657,1.0590363468224901,0.435927438192902
NEE,-0.4936229818389945,0.21277948291154652,-0.8634485632160418
PYPL,0.0036153554628728375,0.3634316846863991,0.18104819607782294
USB,-0.19833473453234984,0.02507393000916201,-0.10061533456967023
JPM,-0.2697585712848216,0.41823907812468525,-0.11958889315716871
SBUX,0.11760339299321172,-1.5550335947541225,0.07629156107118808
SCHW,-0.3834035045943144,0.7716491586727162,-0.1897600207445543
DIS,0.23573167955491287,0.6800224931741512,0.16496178901740222
KHC,-0.6803149491031832,-0.43759334605355743,-1.0591115625921323
ON,1.2459610347605379,-0.4100770331875045,1.2343287661800104
ORCL,0.04789661474546729,0.49859358861540487,0.3671486803437122
MO,-0.9168636862980434,0.35468186724997475,-1.2795792881686017
HST,-0.09627240289115159,0.4615363991070392,-0.008111734249576518
MRNA,0.44409250388721655,-2.084120695794955,0.04853317710624206
CVS,-0.5444234726338538,0.18551013796351654,-0.8209950675948473
TFC,-0.061530784729919887,-0.24082368475952667,0.008111734249576813
DVN,0.7758618329474114,-0.9120572569407978,0.679745810902059
UAL,1.3042098487670306,0.6450589625124212,1.4730376087914592
GILD,-0.6260060115183905,-1.0065412818545196,-1.0129281230857619
MDLZ,-0.8063765456595432,0.0848712503397186,-1.276368484879246
JNJ,-0.6414451755225781,-0.32789902659313763,-1.2944707968324376
CVX,-0.24079468682823066,-1.382720692698349,-0.3249062724637849
COP,0.22847223640376446,-1.100658362359289,0.13528550565857592
RF,-0.09135379229063867,-0.1479662217394982,-0.03116715688083495
APA,1.2720353565193547,-1.6540389497103307,1.1554582396722484
PARA,-0.591800246584881,0.38122529677218253,-0.7978712415742035
BA,0.3619525242665706,0.9864844742106849,0.4062621608796131
DOW,0.5481020071544405,-1.3317481275292873,0.4920716624820035
QCOM,0.46166622683630076,-0.5709089138637091,0.49601518501473074
