ticker,ret,vol30,mom30,beta60
NVDA,-0.00613445687871117,0.04860863798754286,0.0468455640887282,1.7450877703803567
F,0.01459149572966334,0.030725848311878776,0.05353542495632846,0.8451127660653617
TSLA,0.04718770485146129,0.060635140045864046,0.09200748520322621,2.1815669708884795
PLTR,-0.015526634078299018,0.06063742979759059,0.3020313888327135,1.9913643501113873
INTC,0.020000003633044994,0.052570142680051175,-0.09314143457968038,1.4302402351301557
SMCI,-0.003737179599888063,0.05843506846228458,-0.07862907124430318,1.8250824216890933
AAPL,0.0052660552797889615,0.04267947015002559,-0.11311148820121064,1.3298868270026436
PFE,-0.011534974843559698,0.02208431370176417,-0.09216150771078557,0.46250503386675
AMZN,0.0051020185245573835,0.03717587785108773,-0.041219721029992495,1.2180349910812154
BAC,0.0045673665474879055,0.03252869253826456,-0.018092115435101808,0.9750359391454865
WBD,0.00665920803753739,0.06169100516692414,-0.1762034962513931,1.9340061784781553
T,0.013469270057590466,0.019146384928794863,-0.00228754712008028,0.22184850835677136
AMD,0.011209433862899854,0.05899626997158116,-0.03572438006073331,1.9471005890166435
GOOGL,-0.009917026130429218,0.03072894813950262,-0.058493621621357295,0.942025024359565
AMCR,-0.005452583458981919,0.021497700294974845,-0.06076211640267759,0.5067969789958346
AVGO,0.00206956089396515,0.04922617575164217,0.21053543984285383,1.6620352559288383
CMCSA,0.0008766446004311312,0.02384798720115673,-0.07517807991156422,0.6708691342988934
CCL,-0.0029629365897473336,0.0507304226919296,-0.02839269167912306,1.7146091803710066
MSFT,0.0012780371577985061,0.029189890415116347,0.12327826839420952,0.8948371975175171
VZ,0.0,0.01723197388510455,-0.014447205152071874,0.1343144997042735
MU,0.008338215757481393,0.06145509814974654,-0.05691324393464936,2.06194855865394
GOOG,-0.008796116322231096,0.03090722990303333,-0.05911748439782327,0.9449411555264453
WMT,-0.004887066985055921,0.02465526644216727,0.13224164712506203,0.7645326364079713
HBAN,0.0,0.03608428089181699,0.006613781893294535,1.1356043500888635
CSCO,0.0010048798226596212,0.0259026703219213,-0.020048042100225483,0.8590158396589265
HPE,0.0011854504694823742,0.04985633265286089,0.05959848395694212,1.522006699443196
NKE,-0.010354788863207953,0.04244458739491411,-0.11398181560565912,0.9793099041054967
UBER,0.006196773850849047,0.03475682315879155,0.10619819507646211,1.1422829934898453
WFC,-0.006309136051334541,0.030412239843557072,0.007851039333522492,0.9864741849806684
KO,-0.009133083358185745,0.014687547640482454,-0.00310999755932706,0.14061915194745822
META,-0.009230647382329704,0.04218206165552041,-0.016744708701424416,1.4101526321272013
WBA,0.0053763817595939845,0.009374852535510594,0.0053763817595939845,0.24689283386428376
SLB,0.006701618423120559,0.04273335241099407,-0.17933490524237283,1.2425736181517093
FCX,0.010138769283788651,0.052791258158478974,-0.04879893371025723,1.6913622242032484
KVUE,0.01579389345594695,0.021526668043739997,0.04000002272585612,0.27150617364690044
PCG,-0.002910427445924735,0.02066879565336237,0.00030484558574239706,0.5110669335110976
XOM,0.01169037303042475,0.025613124954162694,-0.0897446932380227,0.6497889040040317
C,-0.002652183738484304,0.03662872945662996,0.002384935070940175,1.18779730881085
MRK,-0.02163554761316877,0.023544055865740824,-0.13276252803650124,0.38382264581759257
NCLH,-0.010067024959492854,0.05507589162214322,-0.11010551502825827,1.6934972639092378
KDP,-0.017574648062325893,0.015421977785004828,-0.014398997394840851,0.23833607012245306
CSX,-0.007596661612895184,0.022417584009019897,-0.039438512772956624,0.6906653952082688
VTRS,-0.035203486188404076,0.03069978801704679,-0.007918517377369816,0.835508565033776
AES,0.02772645094235715,0.03565936626937662,-0.08936299656251112,1.0061034802134543
KEY,-0.005138081263588501,0.03586104349118905,-0.042053203584871746,1.1377518120204317
GM,0.0031679309548635626,0.024940343525296352,0.0063559159366815,0.8505256156608273
CMG,-0.0336248691269696,0.030532858172470378,-0.023566319548181558,0.9063052121162806
KMI,0.009985153153600601,0.02507824567503832,-0.0220588712390144,0.6676907532341676
BMY,-0.009172361249544458,0.02155158727895428,-0.2028271947689767,0.2717431421719061
HAL,0.005928895286087643,0.04992983421740483,-0.1965272104281237,1.3954810380038547
LUV,0.0035404123409079613,0.04889032523072964,-0.08104921825127442,1.4519933263668678
OXY,0.017374547407418728,0.04443973631952577,-0.1484548318177661,1.1825930952525707
LRCX,0.006141509680927415,0.05150386580165435,0.0073519993277240125,1.7480000369207103
NEM,0.021767890806803747,0.03293158063107029,0.11551974009290245,0.5770252065541506
DAL,-0.004120328783831506,0.058799110470951245,0.047453923170098555,1.8951905637887165
MCHP,0.125966677213883,0.07845142771845055,0.0893876911535827,2.377371992980416
ANET,-0.008594018893658184,0.043875627174575736,0.09574465104167418,1.3809559961474478
NEE,0.029127603522520085,0.02345739839927147,0.0039982690872137905,0.40128498316492783
PYPL,-0.0031214700656151395,0.035168347796534896,0.020331128572026902,1.1887885211130134
USB,-0.0028476253826013043,0.030395948422152617,-0.016351705117979343,0.9764268982336797
JPM,-0.0015386412110711678,0.02871336244385256,0.026273036126051252,0.9621216891632162
SBUX,-0.022995490126622498,0.03787181764907551,-0.18765802436729084,1.1098067339918805
SCHW,0.004399465996852481,0.0260418038841224,0.06458775783674975,0.9092158177517707
DIS,0.007800605721073106,0.04068093236303949,0.05465411309064394,1.1766600943273537
KHC,-0.01474201753836879,0.019094722979143688,-0.06651147390414669,0.2537638895060302
ON,0.03042492005394104,0.06501706220845009,-0.0635283109215502,1.9829146570028073
ORCL,0.00026608972269315245,0.036217734998954365,0.034984617592197065,1.3290999088403612
